Direction,Date,Boarding Stop,Alighting Stop,Passengers
North,01/03/2026,Palm Beach,Gold Coast Hwy at Mermaid Beach station,1
North,01/03/2026,Wharf St at Tweed Heads,Palm Beach,1
North,01/03/2026,Johnston Street,Golden Four Drive at St Monica's Catholic Church,2
North,01/03/2026,Marine Pde at Kirra Beach Hotel,Golden Four Dr at Bilinga Beach SLSC,1
North,01/03/2026,Golden Four Dr at Short Street,Golden Four Dr at Short Street,1
North,01/03/2026,Gold Coast Hwy at Fifteenth Avenue,Gold Coast Hwy at Miami North station,3
North,01/03/2026,Broadbeach South station,Nerang Broadbeach Rd at Rawle Court,2
North,01/03/2026,Gold Coast Hwy at Palm Beach Police Station,Gold Coast Hwy at Mermaid Beach South station,2
North,01/03/2026,Musgrave St at Kirra shops,Burleigh Heads station,6
North,01/03/2026,Wharf St at Tweed Heads,Golden Four Dr at Bilinga Beach,1
North,01/03/2026,Gold Coast Hwy at Fifteenth Avenue,Gold Coast Hwy at Miami station,1
North,01/03/2026,Musgrave St at Coyne Street,Gold Coast Hwy at Mermaid Beach South station,1
North,01/03/2026,Broadbeach North station,Ada Bell Way at Broadwater Parklands station,1
North,01/03/2026,Musgrave St at Kirra shops,Golden Four Dr at George Street,1
North,01/03/2026,Marine Pde at Kirra Beach Hotel,Teemangum St at Kropp Park,1
North,01/03/2026,Griffith St at Coolangatta East,"Broadbeach South station, stop C",1
North,01/03/2026,Marine Pde at Kirra Beach Hotel,Golden Four Dr at Shell Street,3
North,01/03/2026,Golden Four Dr at North Kirra Beach,Gold Coast Hwy at Fifteenth Avenue,2
North,01/03/2026,Gold Coast Hwy at Hythe St CLOSED,Gold Coast Hwy at Mermaid Beach station,2
North,01/03/2026,Wharf St at Tweed Heads,Gold Coast Hwy at Miami North station,1
North,01/03/2026,Twenty Seventh Avenue,Burleigh Heads station,6
North,01/03/2026,Twenty Seventh Avenue,Broadbeach South station,6
North,01/03/2026,Golden Four Dr at Tugun Beach shops,Broadbeach South station,16
North,01/03/2026,Twin Towns Services Club,Currumbin Wildlife Sanctuary,2
North,01/03/2026,Gold Coast Hwy at Fourth Avenue,Tweed St at George St,2
North,01/03/2026,Burleigh Heads National Park,Broadbeach South station,22
North,01/03/2026,"Broadbeach South station, stop A",Gold Coast Hwy at Mermaid Beach South station,1
North,01/03/2026,Golden Four Dr at Shell Street,Broadbeach South station,4
North,01/03/2026,Gold Coast Hwy at Miami North station,Gold Coast Hwy at Miami North station,3
North,01/03/2026,Golden Four Drive at St Monica's Catholic Church,Unknown,9
North,01/03/2026,Musgrave St at Kirra shops,Gold Coast Hwy at Miami North station,1
North,01/03/2026,Gold Coast Hwy at Tallebudgera Tourist Park,Tweed St at George St,1
North,01/03/2026,Griffith St at Coolangatta East,Johnston Street,2
North,01/03/2026,Golden Four Drive at St Monica's Catholic Church,Burleigh Heads station,1
North,01/03/2026,Gold Coast Hwy at Hythe St CLOSED,Broadbeach South station,5
North,01/03/2026,Coolangatta Central,Golden Four Dr at George Street,8
North,01/03/2026,Gold Coast Hwy at Tenth Avenue,Broadbeach South station,2
North,01/03/2026,Palm Beach,Palm Beach,1
North,01/03/2026,Twin Towns Services Club,Burleigh Heads station,10
North,01/03/2026,Gold Coast Hwy at Palm Beach Police Station,Gold Coast Hwy at Palm Beach Police Station,1
North,01/03/2026,Golden Four Drive at St Monica's Catholic Church,Gold Coast Hwy at Fifteenth Avenue,1
North,01/03/2026,Gold Coast Hwy at Twenty Fifth Avenue,"Broadbeach South station, stop C",1
North,01/03/2026,Coolangatta Central,Palm Beach,6
North,01/03/2026,Golden Four Dr at Tugun Beach shops,Gold Coast Hwy at Palm Beach Police Station,2
North,01/03/2026,Broadbeach South station,Seaworld Dr at Southport Yacht Club,1
North,01/03/2026,Gold Coast Hwy at Twenty First Avenue,Broadbeach South station,2
North,01/03/2026,Gold Coast Hwy at Twenty First Avenue,Gold Coast Hwy at Twenty First Avenue,2
North,01/03/2026,Burleigh Heads station,Gold Coast Hwy at Miami Hotel,14
North,01/03/2026,Musgrave St at Coyne Street,Unknown,8
North,01/03/2026,Gold Coast Hwy at Fourth Avenue,Gold Coast Hwy at Fourth Avenue,2
North,01/03/2026,Gold Coast Hwy at Fourth Avenue,Gold Coast Hwy at Mermaid Beach station,2
North,01/03/2026,Coolangatta Central,Gold Coast Hwy at Mermaid Beach station,1
North,01/03/2026,Twenty Seventh Avenue,Gold Coast Hwy at Miami station,1
North,01/03/2026,Coolangatta Central,Nineteenth Avenue,1
North,01/03/2026,Gold Coast Hwy at Fifteenth Avenue,Unknown,3
North,01/03/2026,Broadbeach South station,Lake St near Central Park Dr,1
North,01/03/2026,Currumbin Wildlife Sanctuary,Gold Coast Hwy at Twenty First Avenue,1
North,01/03/2026,Golden Four Dr at George Street,Unknown,2
North,01/03/2026,Musgrave St at Kirra shops,Gold Coast Hwy at Currumbin Hill,1
North,01/03/2026,Wharf St at Tweed Heads,Broadbeach South station,26
North,01/03/2026,Gold Coast Hwy at Miami Hotel,Gold Coast Hwy at Mermaid Beach station,4
North,01/03/2026,Coolangatta Central,Golden Four Dr at Short Street,7
North,01/03/2026,Currumbin Wildlife Sanctuary,Burleigh Heads National Park,1
North,01/03/2026,Gold Coast Hwy at Eighth Avenue,Burleigh Heads station,6
